,S,B,C,L
2018-12-27,0.22343744386614403,3.2424421220894617e-18,0.07437484385337029,0.7021877122804857
2018-12-28,0.22281912292718253,0.0,0.07447273349951396,0.7027081435733035
2018-12-31,0.2281357875982249,8.792413750736451e-18,0.08082282871953568,0.6910413836822394
2019-01-02,0.22331904014228346,0.0,0.0815084910445285,0.6951724688131881
2019-01-03,0.22573276410064735,1.4768537838047267e-18,0.08083499318009439,0.6934322427192583
2019-01-04,0.23472533729691414,2.4530074152484538e-18,0.06766334019803082,0.6976113225050551
2019-01-07,0.23673797650721337,0.0,0.05968459664895814,0.7035774268438285
2019-01-08,0.23709882223265313,3.5751746233205825e-18,0.0591293340123357,0.7037718437550112
2019-01-09,0.2402773726489801,6.3485618698528484e-18,0.06090943977548473,0.6988131875755352
2019-01-10,0.23929651433797092,0.0,0.06557245149199149,0.6951310341700376
2019-01-11,0.2419003376429649,7.728587214695258e-18,0.06688624995932844,0.6912134123977067
2019-01-14,0.240728882819828,0.0,0.06940035008315062,0.6898707670970213
2019-01-15,0.24010612572321033,1.4873898553785514e-18,0.07187560551212598,0.6880182687646638
2019-01-16,0.23523729539898086,2.401202880194381e-17,0.07668041909870547,0.6880822855023137
2019-01-17,0.23785424420581766,0.0,0.07240866752235889,0.6897370882718235
2019-01-18,0.23316860974152556,2.214705283450297e-17,0.05555493096794383,0.7112764592905306
2019-01-22,0.23400111042815333,0.0,0.055330447222749254,0.7106684423490974
2019-01-23,0.23441221603783263,0.0,0.054994111768202326,0.7105936721939651
2019-01-24,0.241964125774701,2.049186725129494e-17,0.04658326606811072,0.7114526081571882
2019-01-25,0.24261174573918168,0.0,0.04821916341756716,0.7091690908432512
2019-01-28,0.24363929465063644,0.0,0.04661009955661769,0.7097506057927458
2019-01-29,0.2456678472952027,6.433638750870038e-18,0.044203167150833556,0.7101289855539638
2019-01-30,0.2457125696561482,2.4670862493087906e-18,0.04568087506912362,0.7086065552747283
2019-01-31,0.24732370771021178,4.7445794005645915e-18,0.0392156930893124,0.7134605992004758
2019-02-01,0.24202450060808253,2.600454675541746e-17,0.056646650841519854,0.7013288485503977
2019-02-04,0.23725047723394346,2.634703769336136e-17,0.06924810589930157,0.6935014168667549
2019-02-05,0.24288841022465602,0.0,0.06552240658755348,0.6915891831877906
2019-02-06,0.23583818796803424,0.0,0.08905393267133041,0.6751078793606354
2019-02-07,0.23578626176031506,4.644189005566723e-19,0.08957219855484937,0.6746415396848355
2019-02-08,0.23008411030047574,0.0,0.10316684087808094,0.6667490488214434
2019-02-11,0.2312530473345447,0.0,0.10428103652576329,0.664465916139692
2019-02-12,0.2349856974770067,1.7016801499688346e-17,0.10084503868319072,0.6641692638398026
2019-02-13,0.23513228999181623,1.0925399520989106e-17,0.10093780307272096,0.6639299069354629
2019-02-14,0.23272955798978665,1.7110426086197824e-17,0.10649678713026223,0.6607736548799511
2019-02-15,0.23809256913810908,3.541535874686508e-17,0.09884216988604747,0.6630652609758434
2019-02-19,0.2279276301948361,0.0,0.11276573000471543,0.6593066398004485
2019-02-20,0.2081227043473553,2.334888670753842e-17,0.13121653925158983,0.6606607564010549
